passengerid,survived,pclass,name,sex,age,sibsp,parch,ticket,fare,cabin,embarked,class
1,0,3,"Braund, Mr. Owen Harris",male,22.0,1,0,A/5 21171,7.25,,s,third
2,1,1,"Cumings, Mrs. John Bradley",female,38.0,1,0,PC 17599,71.2833,C85,c,first
3,1,3,"Heikkinen, Miss. Laina",female,26.0,0,0,STON/O2. 3101282,7.925,,s,third
4,1,1,"Futrelle, Mrs. Jacques Heath",female,35.0,1,0,113803,53.1,C123,s,first
5,0,3,"Allen, Mr. William Henry",male,27.0,0,0,373450,8.05,,s,third
6,0,3,"Moran, Mr. James",male,27.0,0,0,330877,8.4583,,q,third
7,0,1,"McCarthy, Mr. Timothy",male,54.0,0,0,17463,51.8625,E46,s,first
8,0,3,"Palsson, Master. Gosta",male,2.0,3,1,349909,21.075,,s,third
9,1,3,"Johnson, Mrs. Oscar",female,27.0,0,2,347742,11.1333,,s,third
10,1,2,"Nasser, Mrs. Nicholas",female,14.0,1,0,237736,30.0708,,c,second
11,0,3,"Test, Mr. Negative Fare",male,30.0,0,0,123456,15.5,,s,third
12,1,2,"Test, Miss. Negative Age",female,27.0,0,0,654321,15.5,,s,second
